year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2001,ARGENTINA,AR,PILAGAS,AR-34042,FORMOSA,AR-34,737.765187
2001,ARGENTINA,AR,PILCOMAYO,AR-34049,FORMOSA,AR-34,695.6248051
2001,ARGENTINA,AR,PIRANE,AR-34056,FORMOSA,AR-34,2053.421628
2001,ARGENTINA,AR,POCHO,AR-14077,CORDOBA,AR-14,83.66240385
2001,ARGENTINA,AR,PRESIDENCIA DE LA PLAZA,AR-22119,CHACO,AR-22,102.2834385
2001,ARGENTINA,AR,PUNILLA,AR-14091,CORDOBA,AR-14,93.72969821
2001,ARGENTINA,AR,QUEBRACHOS,AR-86140,SANTIAGO DEL ESTERO,AR-86,2818.808035
2001,ARGENTINA,AR,QUITILIPI,AR-22133,CHACO,AR-22,140.1715445
2001,ARGENTINA,AR,RAMON LISTA,AR-34063,FORMOSA,AR-34,1276.850647
2001,ARGENTINA,AR,RIO HONDO,AR-86147,SANTIAGO DEL ESTERO,AR-86,2509.093274
2001,ARGENTINA,AR,RIO SECO,AR-14112,CORDOBA,AR-14,8212.340342
2001,ARGENTINA,AR,RIVADAVIA,AR-66133,SALTA,AR-66,1518.832657
2001,ARGENTINA,AR,RIVADAVIA,AR-86154,SANTIAGO DEL ESTERO,AR-86,840.1280783
2001,ARGENTINA,AR,ROBLES,AR-86161,SANTIAGO DEL ESTERO,AR-86,1267.09512
2001,ARGENTINA,AR,ROSARIO DE LA FRONTERA,AR-66140,SALTA,AR-66,472.7879203
2001,ARGENTINA,AR,ROSARIO VERA PENALOZA,AR-46112,LA RIOJA,AR-46,300.8709435
2001,ARGENTINA,AR,SALAVINA,AR-86168,SANTIAGO DEL ESTERO,AR-86,716.0878287
2001,ARGENTINA,AR,SAN ALBERTO,AR-14126,CORDOBA,AR-14,584.5067228
2001,ARGENTINA,AR,SAN COSME,AR-18133,CORRIENTES,AR-18,118.5616411
2001,ARGENTINA,AR,SAN FERNANDO,AR-22140,CHACO,AR-22,1504.126483
2001,ARGENTINA,AR,SAN JAVIER,AR-14133,CORDOBA,AR-14,2384.264956
2001,ARGENTINA,AR,SAN JUSTO,AR-82112,SANTA FE,AR-82,238.9497891
2001,ARGENTINA,AR,SAN LORENZO,AR-22147,CHACO,AR-22,223.729264
2001,ARGENTINA,AR,SAN MARTIN,AR-86175,SANTIAGO DEL ESTERO,AR-86,653.7644618
2001,ARGENTINA,AR,SAN PEDRO,AR-38063,JUJUY,AR-38,396.2183397
2001,ARGENTINA,AR,SANTA ROSA,AR-10098,CATAMARCA,AR-10,1439.084038
2001,ARGENTINA,AR,SARGENTO CABRAL,AR-22154,CHACO,AR-22,95.44301248
2001,ARGENTINA,AR,SARMIENTO,AR-86182,SANTIAGO DEL ESTERO,AR-86,361.6900314
2001,ARGENTINA,AR,SILIPICA,AR-86189,SANTIAGO DEL ESTERO,AR-86,761.7116152
2001,ARGENTINA,AR,SIMOCA,AR-90091,TUCUMAN,AR-90,277.1337156
2001,ARGENTINA,AR,SOBREMONTE,AR-14154,CORDOBA,AR-14,2208.675144
2001,ARGENTINA,AR,TAPENAGA,AR-22161,CHACO,AR-22,871.8957101
2001,ARGENTINA,AR,TRANCAS,AR-90112,TUCUMAN,AR-90,1005.590845
2001,ARGENTINA,AR,TULUMBA,AR-14175,CORDOBA,AR-14,6135.259404
2001,ARGENTINA,AR,VALLE VIEJO,AR-10112,CATAMARCA,AR-10,109.1400365
2001,ARGENTINA,AR,VERA,AR-82133,SANTA FE,AR-82,4401.948264
2002,ARGENTINA,AR,12 DE OCTUBRE,AR-22036,CHACO,AR-22,8773.568263
2002,ARGENTINA,AR,1º DE MAYO,AR-22126,CHACO,AR-22,48.67435053
2002,ARGENTINA,AR,25 DE MAYO,AR-22168,CHACO,AR-22,139.2273128
2002,ARGENTINA,AR,2 DE ABRIL,AR-22039,CHACO,AR-22,1432.177664
2002,ARGENTINA,AR,9 DE JULIO,AR-22105,CHACO,AR-22,4864.941246
2002,ARGENTINA,AR,9 DE JULIO,AR-82077,SANTA FE,AR-82,7751.48949
